id,pol,uloga,cesto,vreme,opsti,hidden,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13,txt01,txt02,txt03,txt01mali,txt02mali,txt03mali,traj,formatUp
1,2,2,4,1,4,16,4,5,5,5,5,5,2,3,4,4,5,4,2,,,,,"Dodatne informacije o izbornim predmetima, kao i kompletan spisak svih dostupnih izbornih predmeta.",,185.95,2
5,1,2,4,1,5,33,5,3,4,5,5,5,2,3,4,3,5,5,2,,,,Voleo bih vecu funkcionlanost nasih naloga u smislu da mozemo graditi potencijalne izbore kurseva a da se uz to ucitava ukupan broj ESPB i slicno. Cesto fale dodatni izborni kursevi koji se mogu naci na rasporedu koji izadje na maticnom sajtu. To bi bilo dobro azurirati redovno.,,,276.27,2
6,2,2,4,2,4,10,4,4,4,4,4,4,4,4,4,3,4,4,4,,,,,,,113.62,2
7,2,2,4,1,5,7,5,5,5,5,5,5,4,4,5,4,5,5,5,,,,,,,111.64,2
8,1,2,4,1,4,28,2,4,4,5,5,5,1,5,5,3,5,5,4,,,,,,,110.7,2
10,2,2,4,2,5,16,4,5,5,5,5,5,5,5,5,5,5,5,4,,,,,,,108.7,2
12,2,1,3,1,3,4,1,4,1,2,3,3,1,4,3,1,2,4,5,,,,,,,290.52,2
15,2,4,2,1,3,42,4,4,4,5,5,5,5,3,3,3,4,4,1,,,,,,,122.88,2
19,2,2,4,1,4,11,,,,,,,,,,,,,,,,,,,,320.83,2
20,2,2,4,2,4,32,3,4,4,4,3,4,2,4,4,5,5,4,4,,,,Ne,"/",/,801.48,2
