id,submitdate,lastpage,startdate,datestamp,ipaddr,Hidden,Hidden1Manji51Veci50je2,PolMuski1Zenski2,uloga,Posete,VremeProvedeno,OpstiUtisak,G1izgled,G2pocetna,G3gde,G4nauciti,G5informacije,G6Terminologia,G7predmeti,G8aktuelnosti,G9azuriranje,G10experimenti,G11buduciUce,G12brzina,G13mobilni,textboxPrvi,textboxDrugi,textboxTreci,textboxPrvimali,textboxDrugimali,textboxTrecimali,BrOdgovora,interviewtime,FormatUpitnika,Otvorena1,Otvorena2,Otvorena3,O1Ima1Nema2,O2Ima1Nema2,O3Ima1Nema2,O123Ima1Nema2,O.koliko ima ,O1BrKaraktera,O1BrKaraktera,O0BrKaraktera,1.00
1,2019-07-28 22:19:35,38,2019-07-28 22:16:38,2019-07-28 22:19:35,134.90.131.164,1,16,2,2,4,1,4,4,5,5,5,5,5,2,3,4,4,5,4,2,,,,,"Dodatne informacije o izbornim predmetima, kao i kompletan spisak svih dostupnih izbornih predmeta.",,19,186,2,,"Dodatne informacije o izbornim predmetima, kao i kompletan spisak svih dostupnih izbornih predmeta.",,2,1,2,1,1,0,99,0,1.00
5,2019-07-29 15:22:20,38,2019-07-29 15:17:55,2019-07-29 15:22:20,188.2.142.223,1,33,1,2,4,1,5,5,3,4,5,5,5,2,3,4,3,5,5,2,,,,Voleo bih vecu funkcionlanost nasih naloga u smislu da mozemo graditi potencijalne izbore kurseva a da se uz to ucitava ukupan broj ESPB i slicno. Cesto fale dodatni izborni kursevi koji se mogu naci na rasporedu koji izadje na maticnom sajtu. To bi bilo dobro azurirati redovno.,,,19,276,2,Voleo bih vecu funkcionlanost nasih naloga u smislu da mozemo graditi potencijalne izbore kurseva a da se uz to ucitava ukupan broj ESPB i slicno. Cesto fale dodatni izborni kursevi koji se mogu naci na rasporedu koji izadje na maticnom sajtu. To bi bilo dobro azurirati redovno.,,,1,2,2,1,1,279,0,0,1.00
6,2019-07-29 16:20:30,38,2019-07-29 16:18:45,2019-07-29 16:20:30,188.2.49.41,1,10,2,2,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,,,,,,,18,114,2,,,,2,2,2,2,0,0,0,0,1.00
7,2019-07-29 18:26:32,38,2019-07-29 18:24:51,2019-07-29 18:26:32,178.222.190.192,1,7,2,2,4,1,5,5,5,5,5,5,5,4,4,5,4,5,5,5,,,,,,,18,112,2,,,,2,2,2,2,0,0,0,0,
8,2019-07-29 19:43:34,38,2019-07-29 19:41:53,2019-07-29 19:43:34,109.93.51.23,1,28,1,2,4,1,4,2,4,4,5,5,5,1,5,5,3,5,5,4,,,,,,,18,111,2,,,,2,2,2,2,0,0,0,0,
10,2019-07-30 2:59:51,38,2019-07-30 2:58:14,2019-07-30 2:59:51,87.116.182.34,1,16,2,2,4,2,5,4,5,5,5,5,5,5,5,5,5,5,5,4,,,,,,,18,109,2,,,,2,2,2,2,0,0,0,0,
12,2019-07-30 12:47:42,38,2019-07-30 12:43:01,2019-07-30 12:47:42,109.245.159.72,1,4,2,1,3,1,3,1,4,1,2,3,3,1,4,3,1,2,4,5,,,,,,,18,291,2,,,,2,2,2,2,0,0,0,0,
15,2019-07-30 13:29:36,38,2019-07-30 13:27:42,2019-07-30 13:29:36,77.46.252.18,1,42,2,4,2,1,3,4,4,4,5,5,5,5,3,3,3,4,4,1,,,,,,,18,123,2,,,,2,2,2,2,0,0,0,0,
19,,6,2019-07-30 15:01:45,2019-07-30 15:07:01,109.92.79.90,1,11,2,2,4,1,4,,,,,,,,,,,,,,,,,,,,5,321,2,,,,2,2,2,2,0,0,0,0,
20,2019-07-30 15:20:02,38,2019-07-30 15:06:53,2019-07-30 15:20:02,80.144.19.74,1,32,2,2,4,2,4,3,4,4,4,3,4,2,4,4,5,5,4,4,,,,Ne,"/
",/,21,801,2,Ne,"/
",/,2,2,2,2,0,2,2,1,
21,2019-07-30 17:03:01,38,2019-07-30 17:00:46,2019-07-30 17:03:01,109.93.191.40,1,38,2,2,3,2,3,3,2,4,2,4,5,4,5,5,3,4,5,1,,,,,,,18,144,2,,,,2,2,2,2,0,0,0,0,
