,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13
g01,1.0,0.5,0.41,0.32,0.44,0.29,0.11,0.31,0.34,0.24,0.38,0.3,0.09
g02,0.5,1.0,0.58,0.61,0.53,0.37,0.18,0.34,0.43,0.29,0.59,0.35,0.07
g03,0.41,0.58,1.0,0.49,0.48,0.31,0.16,0.37,0.43,0.31,0.51,0.35,0.06
g04,0.32,0.61,0.49,1.0,0.41,0.34,0.09,0.2,0.26,0.28,0.71,0.3,-0.04
g05,0.44,0.53,0.48,0.41,1.0,0.47,0.25,0.31,0.56,0.17,0.45,0.38,0.06
g06,0.29,0.37,0.31,0.34,0.47,1.0,-0.1,0.35,0.42,0.26,0.41,0.34,0.0
g07,0.11,0.18,0.16,0.09,0.25,-0.1,1.0,0.12,0.17,0.1,0.11,0.13,0.12
g08,0.31,0.34,0.37,0.2,0.31,0.35,0.12,1.0,0.43,0.27,0.27,0.2,0.09
g09,0.34,0.43,0.43,0.26,0.56,0.42,0.17,0.43,1.0,0.22,0.36,0.32,0.09
g10,0.24,0.29,0.31,0.28,0.17,0.26,0.1,0.27,0.22,1.0,0.28,0.24,0.05
g11,0.38,0.59,0.51,0.71,0.45,0.41,0.11,0.27,0.36,0.28,1.0,0.39,-0.07
g12,0.3,0.35,0.35,0.3,0.38,0.34,0.13,0.2,0.32,0.24,0.39,1.0,-0.01
g13,0.09,0.07,0.06,-0.04,0.06,0.0,0.12,0.09,0.09,0.05,-0.07,-0.01,1.0
